audio_file,top10_neuron_indices
audio--1504193353-headset,"77,83,29,42,72,48,22,71,2,34"
audio--1504193353,"33,16,88,27,83,34,48,42,45,1"
audio--1504193366-headset,"83,19,46,81,33,57,27,88,10,30"
audio--1504193366,"1,10,27,88,30,57,42,15,77,70"
audio--1504193369-headset,"1,13,81,77,32,2,9,78,27,10"
audio--1504193369,"30,71,81,64,10,9,68,13,29,46"
audio--1504193400-headset,"48,72,33,88,46,29,45,70,57,2"
audio--1504193400,"71,81,30,69,33,32,9,22,34,46"
audio--1504193402-headset,"33,45,46,13,57,83,15,19,64,30"
audio--1504193402,"10,32,88,77,27,19,15,81,9,48"
audio--1504193409-headset,"57,15,83,22,30,32,29,88,64,10"
audio--1504193409,"33,45,72,68,78,83,57,30,9,1"
audio--1504194197-headset,"4,57,42,80,72,46,2,81,27,83"
audio--1504194197,"33,10,30,13,29,72,71,57,42,32"
audio--1504194201-headset,"71,2,22,78,16,72,81,30,83,42"
audio--1504194201,"42,81,58,33,30,57,72,45,77,34"
audio--1504194216-headset,"30,34,27,32,46,57,13,10,81,72"
audio--1504194216,"71,42,33,2,57,30,80,70,9,22"
audio--1504194222-headset,"48,33,72,13,77,29,78,88,2,1"
audio--1504194231-headset,"42,78,63,83,81,10,29,1,34,27"
audio--1504194231,"70,48,34,42,22,72,30,32,1,27"
audio--1504194239-headset,"9,13,15,22,81,32,34,57,19,42"
audio--1504194239,"80,70,58,78,10,88,83,9,30,13"
audio--1504194259-headset,"42,71,77,33,83,32,13,27,34,78"
audio--1504194259,"34,22,2,45,78,27,32,13,77,42"
audio--1504194279-headset,"2,10,42,57,71,33,88,9,45,30"
audio--1504194279,"10,1,27,33,48,13,22,30,71,15"
audio--1504194300-headset,"22,48,19,16,4,71,60,77,72,81"
audio--1504194300,"72,19,42,30,15,88,81,80,64,13"
audio--1504194310-headset,"64,70,27,47,48,71,46,30,60,33"
audio--1504194310,"30,15,46,19,88,42,72,22,1,78"
audio--1504194322-headset,"64,54,32,30,42,33,27,78,29,9"
audio--1504194322,"88,32,16,4,35,34,30,48,46,1"
audio--1504194339-headset,"71,13,19,46,48,34,1,83,33,72"
audio--1504194339,"83,71,77,29,33,48,34,70,42,78"
audio--1504194380-headset,"33,78,29,30,13,2,83,1,46,10"
audio--1504194380,"60,46,9,71,30,33,72,81,45,10"
audio--1504194395-headset,"16,80,32,45,29,2,15,81,33,19"
audio--1504194395,"32,30,48,27,33,72,77,16,2,9"
audio--1504194404-headset,"15,22,71,30,9,48,57,13,46,42"
audio--1504194404,"33,10,88,47,46,57,9,48,1,81"
audio--1504194416-headset,"19,33,57,13,63,22,1,64,34,83"
audio--1504194416,"33,42,27,29,13,16,81,2,71,1"
audio--1504194428-headset,"13,34,27,88,77,4,9,81,70,2"
audio--1504194428,"30,9,4,88,13,10,83,77,57,45"
audio--1504194431-headset,"30,68,71,57,64,83,1,29,13,33"
audio--1504194431,"13,57,71,48,72,88,70,32,45,2"
audio--1504194437-headset,"13,33,57,15,72,48,83,16,27,19"
audio--1504194437,"13,29,33,16,71,1,0,34,72,88"
audio--1504194455-headset,"30,29,88,57,10,81,15,78,42,33"
audio--1504194455,"34,83,29,30,70,19,27,57,9,22"
audio--1504194459-headset,"88,30,1,33,14,78,42,83,19,32"
audio--1504194459,"78,30,64,27,16,2,32,46,13,22"
audio--1504194489-headset,"13,72,70,63,42,83,81,30,9,19"
audio--1504194489,"29,45,78,10,80,2,48,34,88,46"
audio--1504194560-headset,"19,33,83,22,64,71,48,32,2,1"
audio--1504194560,"30,33,81,83,27,71,13,15,46,10"
audio--1504194567-headset,"1,15,64,88,27,83,48,54,13,71"
audio--1504194567,"70,34,22,10,33,42,27,71,77,63"
audio--1504194585-headset,"88,10,57,15,9,32,64,71,2,68"
audio--1504194585,"88,33,78,70,77,46,81,27,71,19"
audio--1504194599-headset,"42,16,72,83,27,29,64,9,45,34"
audio--1504194599,"15,70,22,42,88,33,9,10,34,46"
audio--1504194628-headset,"1,27,33,48,46,80,77,64,81,13"
audio--1504194628,"88,83,22,71,2,34,42,13,77,9"
audio--1504194641-headset,"19,42,2,27,34,71,14,80,33,10"
audio--1504194641,"30,77,63,60,57,27,72,2,46,22"
audio--1504194652-headset,"78,29,9,64,19,33,83,10,81,34"
audio--1504194652,"13,70,88,2,42,10,22,83,81,30"
audio--1504194663-headset,"2,64,10,46,81,57,1,71,72,29"
audio--1504194663,"33,32,46,70,22,30,13,29,15,48"
audio--1504194717-headset,"22,81,27,32,1,29,34,42,9,48"
audio--1504194717,"13,4,58,78,27,83,9,16,77,72"
audio--1504194722-headset,"81,19,15,13,10,27,42,77,9,32"
audio--1504194722,"13,81,68,71,2,9,22,60,42,64"
audio--1504194734-headset,"83,42,71,22,88,34,46,1,32,69"
audio--1504194734,"19,33,78,30,80,9,15,4,57,72"
audio--1504194760-headset,"32,78,83,88,15,34,22,2,72,27"
audio--1504194760,"42,81,30,33,80,13,45,88,83,34"
audio--1504194798-headset,"27,1,68,34,32,9,42,64,70,2"
audio--1504194798,"33,30,71,4,72,58,83,22,13,1"
audio--1504194803-headset,"16,48,19,54,81,9,33,13,1,60"
audio--1504194803,"88,30,45,48,58,13,81,22,44,15"
audio--1504194804-headset,"72,15,46,45,57,78,63,48,30,81"
audio--1504194804,"33,1,88,72,42,29,30,10,57,22"
audio--1504194811-headset,"80,15,2,42,33,45,34,78,57,83"
audio--1504194811,"72,71,34,9,2,48,13,45,16,30"
audio--1504194828-headset,"15,77,30,80,19,9,45,27,42,34"
audio--1504194828,"81,34,46,22,13,70,42,9,30,48"
audio--1504194834-headset,"71,10,22,30,81,70,72,15,2,33"
audio--1504194834,"80,10,42,70,29,2,71,34,22,13"
audio--1504194856-headset,"33,9,1,27,42,88,46,64,81,34"
audio--1504194856,"13,72,2,9,88,80,33,34,19,27"
audio--1504194859-headset,"27,15,30,57,72,42,1,48,2,70"
audio--1504194859,"71,9,72,33,2,45,29,64,83,1"
audio--1504194870-headset,"15,83,33,9,13,32,27,72,71,77"
audio--1504194870,"30,10,15,1,78,33,22,88,71,34"
audio--1504194875-headset,"2,34,32,46,57,19,42,30,78,71"
audio--1504194875,"29,13,27,71,48,70,78,81,33,2"
audio--1504194892-headset,"88,46,77,9,27,1,10,34,70,42"
audio--1504194892,"22,27,13,83,10,46,29,64,2,71"
audio--1504194909-headset,"1,88,33,27,30,78,48,32,72,34"
audio--1504194909,"64,34,22,63,72,10,81,68,27,32"
audio--1504194928-headset,"81,48,72,30,33,34,54,2,32,71"
audio--1504194928,"9,81,83,64,77,72,71,42,13,63"
audio--1504194984-headset,"80,2,13,81,46,83,22,45,16,33"
audio--1504194984,"19,88,60,72,71,32,9,2,63,34"
audio--1504195021-headset,"34,19,42,30,32,72,33,64,15,22"
audio--1504195021,"33,13,77,78,2,42,89,46,9,64"
audio--1504195024-headset,"88,9,81,80,30,42,33,22,4,29"
audio--1504195024,"13,9,2,34,33,64,45,10,19,27"
audio--1504195030-headset,"72,13,2,10,27,1,42,60,57,83"
audio--1504195030,"30,46,1,57,13,34,16,71,45,4"
audio--1504195044-headset,"72,13,15,27,29,30,4,1,42,9"
audio--1504195044,"33,70,9,14,83,30,48,46,78,72"
audio--1504195056-headset,"30,34,57,77,78,83,27,22,32,70"
audio--1504195056,"29,70,78,42,57,83,15,30,13,2"
audio--1504195078-headset,"33,1,77,57,9,29,32,45,88,13"
audio--1504195078,"19,57,71,22,34,78,46,27,72,10"
